run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold
feb4_4t_feb4_4t_2_base_dev1000_rho0_t4-ppo_jun8_23ppo_76-100,feb4_4t/feb4_4t_2_base_dev1000_rho0_t4.json,100,ppo_jun8_23ppo_76,PPO,feb4_4t_2,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,True,137216.0,3623.528204202652,0.0,"[14.609073759007204, 6.842783726981584]",0.0,0.0,0.0,14.609073759007204,0.0,0.0,0.0,0.0,6.842783726981584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.609073759007204,21.85749949959968,0.0,0.0,1.0,0.0,0.0,6.842783726981584,21.01250050040032,0.0,0.0,1.0,0.0,64.32185748598879,42.870000000000005,3.0,0.747898318654924,0.747898318654924,2.220446049250313e-16,1.1102230246251565e-16,"[((0, 3), 6225), ((1, 1), 3767)]",[-1.11022302e-16  2.22044605e-16],0.16449099218750085,"[14.309929821175519, 7.076230730821376]",0.007691469059514836,0.055837318359375665,0.002610908967208794,14.309929821175519,0.00482918164062518,0.00033747067253111633,0.0,0.0,7.076230730821376,0.15966181054687567,0.022563115395806615,0.055837318359375665,0.007890827826765102,0.0,0.0,1.0,0.0,0.0,14.309929821175519,21.84452384272531,0.0,0.0,1.0,0.0,0.0,7.076230730821376,21.85149095267358,0.0,0.0,1.0,0.0,65.08217534739578,43.69601479539889,3.4966510046985904,0.3798860341897431,0.3798860341897431,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 5613), ((0, 3), 4390)]",[-5.55111512e-17  0.00000000e+00]
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-cfr_10external_plus_linear-103,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,103,cfr_10external_plus_linear,cfr_external_linear,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-cfr_10external_plus_linear-102,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,102,cfr_10external_plus_linear,cfr_external_linear,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-cfr_10external_plus_linear-100,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,100,cfr_10external_plus_linear,cfr_external_linear,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-cfr_10external_plus_linear-101,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,101,cfr_10external_plus_linear,cfr_external_linear,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-cfr_10external_plus_linear-103,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,103,cfr_10external_plus_linear,cfr_external_linear,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-cfr_10external_plus_linear-102,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,102,cfr_10external_plus_linear,cfr_external_linear,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_2t_feb4_2t_1_base_dev1000_rho1_t2-ppo_jun8_23ppo_76-103,feb4_2t/feb4_2t_1_base_dev1000_rho1_t2.json,103,ppo_jun8_23ppo_76,PPO,feb4_2t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,159744.0,3616.8649725914,0.0,"[14.795409892691222, 5.437944107948485]",0.0,0.0,0.0,14.795409892691222,0.0,0.0,0.0,0.0,5.437944107948485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.795409892691222,23.152500000000007,0.0,0.0,1.0,0.0,0.0,5.437944107948485,19.717499999999994,0.0,0.0,1.0,0.0,63.10335400063971,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.4212536495325896,"[11.84808033797782, 4.311414833565427]",0.08795161200551653,0.31901359615384717,0.01974155707015079,11.84808033797782,0.2932436839041337,0.02475031191037512,0.0,0.0,4.311414833565427,1.128009965628456,0.26163336379664054,0.31901359615384717,0.07399278623579612,0.0,0.0,1.0,0.0,0.0,11.84808033797782,25.644258724189207,0.0,0.0,1.0,0.0,0.0,4.311414833565427,20.5480862413964,0.0,0.0,1.0,0.0,62.35184013712885,46.19234496558562,4.997598559135481,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.]
feb4_2t_feb4_2t_1_base_dev1000_rho1_t2-ppo_jun8_23ppo_76-101,feb4_2t/feb4_2t_1_base_dev1000_rho1_t2.json,101,ppo_jun8_23ppo_76,PPO,feb4_2t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,161792.0,3626.8369183540344,0.0,"[14.795409892691222, 5.437944107948485]",0.0,0.0,0.0,14.795409892691222,0.0,0.0,0.0,0.0,5.437944107948485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.795409892691222,23.152500000000007,0.0,0.0,1.0,0.0,0.0,5.437944107948485,19.717499999999994,0.0,0.0,1.0,0.0,63.10335400063971,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.4212536495325896,"[11.84808033797782, 4.311414833565427]",0.08795161200551653,0.31901359615384717,0.01974155707015079,11.84808033797782,0.2932436839041337,0.02475031191037512,0.0,0.0,4.311414833565427,1.128009965628456,0.26163336379664054,0.31901359615384717,0.07399278623579612,0.0,0.0,1.0,0.0,0.0,11.84808033797782,25.644258724189207,0.0,0.0,1.0,0.0,0.0,4.311414833565427,20.5480862413964,0.0,0.0,1.0,0.0,62.35184013712885,46.19234496558562,4.997598559135481,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.]
feb4_2t_feb4_2t_1_base_dev1000_rho1_t2-ppo_jun8_23ppo_76-102,feb4_2t/feb4_2t_1_base_dev1000_rho1_t2.json,102,ppo_jun8_23ppo_76,PPO,feb4_2t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,159744.0,3611.039787054062,0.0,"[14.795409892691222, 5.437944107948485]",0.0,0.0,0.0,14.795409892691222,0.0,0.0,0.0,0.0,5.437944107948485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.795409892691222,23.152500000000007,0.0,0.0,1.0,0.0,0.0,5.437944107948485,19.717499999999994,0.0,0.0,1.0,0.0,63.10335400063971,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.4212536495325896,"[11.84808033797782, 4.311414833565427]",0.08795161200551653,0.31901359615384717,0.01974155707015079,11.84808033797782,0.2932436839041337,0.02475031191037512,0.0,0.0,4.311414833565427,1.128009965628456,0.26163336379664054,0.31901359615384717,0.07399278623579612,0.0,0.0,1.0,0.0,0.0,11.84808033797782,25.644258724189207,0.0,0.0,1.0,0.0,0.0,4.311414833565427,20.5480862413964,0.0,0.0,1.0,0.0,62.35184013712885,46.19234496558562,4.997598559135481,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.]
feb4_2t_feb4_2t_1_base_dev1000_rho1_t2-ppo_jun8_23ppo_76-100,feb4_2t/feb4_2t_1_base_dev1000_rho1_t2.json,100,ppo_jun8_23ppo_76,PPO,feb4_2t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,161792.0,3634.4666624069214,0.0,"[14.795409892691222, 5.437944107948485]",0.0,0.0,0.0,14.795409892691222,0.0,0.0,0.0,0.0,5.437944107948485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.795409892691222,23.152500000000007,0.0,0.0,1.0,0.0,0.0,5.437944107948485,19.717499999999994,0.0,0.0,1.0,0.0,63.10335400063971,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.4212536495325896,"[11.84808033797782, 4.311414833565427]",0.08795161200551653,0.31901359615384717,0.01974155707015079,11.84808033797782,0.2932436839041337,0.02475031191037512,0.0,0.0,4.311414833565427,1.128009965628456,0.26163336379664054,0.31901359615384717,0.07399278623579612,0.0,0.0,1.0,0.0,0.0,11.84808033797782,25.644258724189207,0.0,0.0,1.0,0.0,0.0,4.311414833565427,20.5480862413964,0.0,0.0,1.0,0.0,62.35184013712885,46.19234496558562,4.997598559135481,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.]
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-ppo_jun8_23ppo_76-101,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,101,ppo_jun8_23ppo_76,PPO,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,True,139264.0,3614.167009115219,0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.]
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-ppo_jun8_23ppo_76-100,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,100,ppo_jun8_23ppo_76,PPO,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,True,141312.0,3630.6599354743958,0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.]
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-ppo_jun8_23ppo_76-102,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,102,ppo_jun8_23ppo_76,PPO,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,True,141312.0,3640.2935161590576,0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.]
feb4_2t_feb4_2t_1_base_dev1000_rho1_t2-ppo_jun8_23ppo_76-104,feb4_2t/feb4_2t_1_base_dev1000_rho1_t2.json,104,ppo_jun8_23ppo_76,PPO,feb4_2t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,161792.0,3600.441641330719,0.0,"[14.795409892691222, 5.437944107948485]",0.0,0.0,0.0,14.795409892691222,0.0,0.0,0.0,0.0,5.437944107948485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.795409892691222,23.152500000000007,0.0,0.0,1.0,0.0,0.0,5.437944107948485,19.717499999999994,0.0,0.0,1.0,0.0,63.10335400063971,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],1.4212536495325896,"[11.84808033797782, 4.311414833565427]",0.08795161200551653,0.31901359615384717,0.01974155707015079,11.84808033797782,0.2932436839041337,0.02475031191037512,0.0,0.0,4.311414833565427,1.128009965628456,0.26163336379664054,0.31901359615384717,0.07399278623579612,0.0,0.0,1.0,0.0,0.0,11.84808033797782,25.644258724189207,0.0,0.0,1.0,0.0,0.0,4.311414833565427,20.5480862413964,0.0,0.0,1.0,0.0,62.35184013712885,46.19234496558562,4.997598559135481,0.0,0.0,0.0,0.0,"[((0, 3), 9994)]",[0. 0.]
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-ppo_jun8_23ppo_76-104,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,104,ppo_jun8_23ppo_76,PPO,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,True,141312.0,3615.670525789261,0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.]
feb4_1t_feb4_1t_4_base_dev1000_rho0_t1-ppo_jun8_23ppo_76-103,feb4_1t/feb4_1t_4_base_dev1000_rho0_t1.json,103,ppo_jun8_23ppo_76,PPO,feb4_1t_4,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,1,1000,True,165888.0,3606.116580724716,0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.0,"[13.282499999999999, 27.847499999999993]",0.0,0.0,0.0,13.282499999999999,0.0,0.0,0.0,0.0,27.847499999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.282499999999999,19.717499999999994,0.0,0.0,1.0,0.0,0.0,27.847499999999993,23.152500000000007,0.0,0.0,1.0,0.0,84.0,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.]
