,game_name,potential,seed,run_name,experiment,information_policy,clock_speed,base_game_name,alg,walltime,approx_nash_conv,total_entropy,p0_utility,p0_payment,p0_total_entropies,p1_utility,p1_payment,p1_total_entropies,total_welfare,total_revenue,auction_lengths,common_allocations
23,jun13/jun13_2_imperfect.json,None,101,jun13_jun13_2_imperfect-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.3,jun13_2,PPO,32076.22499370575,,0.0,45.41791609482843,79.15879691907574,0.0,138.25121884765426,223.2547449414825,0.0,486.08267680304084,302.41354186055815,5.511153346003801,"[((0, 0), 4993), ((2, 3), 2532), ((0, 3), 2472)]"
24,jun13/jun13_0_high_speed.json,None,100,jun13_jun13_0_high_speed-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.6,jun13_0,PPO,28978.21268439293,,0.0,49.29565175622935,97.61383688582009,0.0,85.33953761232856,223.11178631442021,0.0,455.3608125687982,320.7256232002403,5.0028019613729615,"[((0, 0), 2532), ((0, 4), 2504), ((1, 4), 2485), ((0, 1), 2472)]"
25,jun13/jun13_1_imperfect.json,None,101,jun13_jun13_1_imperfect-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.3,jun13_1,PPO,24956.8822889328,,0.0,49.916691669166916,62.87624762476247,0.0,40.73545788578859,72.42798645864586,0.0,225.95638363836383,135.30423408340835,2.7455745574557455,"[((2, 0), 4995), ((1, 2), 2534), ((1, 0), 2470)]"
26,jun13/jun13_2_medium_speed.json,None,100,jun13_jun13_2_medium_speed-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.45,jun13_2,PPO,32848.71416115761,,0.0,46.3799403940394,77.866300230023,0.0,104.15896006913192,256.92402822969797,0.0,485.32922892289236,334.79032845972097,4.254725472547254,"[((0, 0), 4993), ((2, 3), 2528), ((0, 3), 2478)]"
27,jun13/jun13_4_high_speed.json,None,100,jun13_jun13_4_high_speed-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.6,jun13_4,PPO,21115.777593374252,,0.0,117.10960400240141,109.98239519711831,0.0,85.98627976786072,63.825943566139685,0.0,376.90422253352017,173.808338763258,3.4964978987392437,"[((1, 0), 5032), ((1, 2), 2488), ((0, 0), 2474)]"
28,jun13/jun13_0_high_speed.json,None,102,jun13_jun13_0_high_speed-ppo_may31_23ppo_76-102,jun13ppo,SHOW_DEMAND,0.6,jun13_0,PPO,28410.878455877304,,0.0,68.52442817126851,78.02590796318529,0.0,97.6010936534613,210.79512483393364,0.0,454.9465546218488,288.82103279711896,4.503101240496198,"[((0, 0), 2532), ((0, 4), 2508), ((1, 4), 2483), ((0, 1), 2473)]"
29,jun13/jun13_4_high_speed.json,None,101,jun13_jun13_4_high_speed-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.6,jun13_4,PPO,20755.255648612976,,0.0,122.88363000600117,146.9470521304261,0.0,77.70099219843968,44.8797199439888,0.0,392.4113942788559,191.82677207441492,4.001500300060012,"[((1, 2), 5016), ((1, 0), 2505), ((0, 0), 2477)]"
30,jun13/jun13_3_medium_speed.json,None,101,jun13_jun13_3_medium_speed-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.45,jun13_3,PPO,21214.3448741436,,0.0,140.28287101420284,151.51643684736945,0.0,140.67665169310894,135.77206605043978,0.0,568.2480256051211,287.2885028978093,5.240748149629926,"[((2, 0), 2529), ((0, 1), 2506), ((2, 1), 2490), ((0, 0), 2473)]"
31,jun13/jun13_1_high_speed.json,None,101,jun13_jun13_1_high_speed-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.6,jun13_1,PPO,25288.964855909348,,0.0,51.175337202321394,80.78222933760257,0.0,47.48325795477287,51.24774064438664,0.0,230.68856513908347,132.0299699819892,1.9982989793876327,"[((2, 0), 7469), ((1, 2), 2525)]"
32,jun13/jun13_4_imperfect.json,None,101,jun13_jun13_4_imperfect-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.3,jun13_4,PPO,20269.444586992264,,0.0,140.5082900645492,94.57795830931254,0.0,68.47828750137894,71.15632472718103,0.0,374.72086060242174,165.7342830364936,5.130091063744621,"[((1, 2), 3085), ((1, 0), 2504), ((0, 0), 1256), ((0, 1), 1249), ((1, 1), 1248)]"
