info_state,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,player,prob,round,terminal,total_demand,value
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 16.1051
Round: 7",0 , 2,,,, 16.1051,0.0,25.289799999999993,,,1,2.017022521717436e-06,7,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 16.1051
Round: 7",1 , 1,,,, 16.1051,84.89489999999999,30.894899999999996,,,0,4.9176330895042233e-05,7,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 16.1051
Round: 7",1 , 1,,,, 16.1051,84.89489999999999,30.894899999999996,,,1,4.9176330895042233e-05,7,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1
1 | 1 | 1 | 1 | 1 | 1
3 | 3 | 3 | 3 | 3 | 3",,,0.03881832440988545,0.9611816755901145,, 17.7156,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1",0,1.8404942196223023e-10,7,False,1 | 1 | 1 | 1 | 1 | 1,
"Player 1
MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
3 | 3 | 3 | 3 | 3 | 3",,,0.3333333333333333,0.3333333333333333,0.3333333333333333, 17.7156,,,,"MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2 | 2 | 2",1,1.8404942196223023e-10,7,False,2 | 2 | 2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 17.7156
Round: 8",0 , 2,,,, 17.7156,0.0,22.06877999999999,,,0,6.723282241934054e-07,8,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 17.7156
Round: 8",0 , 2,,,, 17.7156,0.0,22.06877999999999,,,1,6.723282241934054e-07,8,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 17.7156
Round: 8",1 , 1,,,, 17.7156,83.28439,29.284389999999995,,,0,4.42133074387135e-05,8,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 17.7156
Round: 8",1 , 1,,,, 17.7156,83.28439,29.284389999999995,,,1,4.42133074387135e-05,8,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1 | 1
1 | 1 | 1 | 1 | 1 | 1 | 1
3 | 3 | 3 | 3 | 3 | 3 | 3",,,0.02019302146290558,0.9798069785370945,, 19.4872,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1 | 1",0,5.896831059768281e-11,8,False,1 | 1 | 1 | 1 | 1 | 1 | 1,
"Player 1
MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2 | 2
3 | 3 | 3 | 3 | 3 | 3 | 3",,,0.33333333333333337,0.33333333333333337,0.33333333333333337, 19.4872,,,,"MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2 | 2 | 2 | 2",1,5.896831059768283e-11,8,False,2 | 2 | 2 | 2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 19.4872
Round: 9",0 , 2,,,, 19.4872,0.0,18.525657999999986,,,0,2.2410721241233038e-07,9,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 19.4872
Round: 9",0 , 2,,,, 19.4872,0.0,18.525657999999986,,,1,2.2410721241233038e-07,9,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 19.4872
Round: 9",1 , 1,,,, 19.4872,81.512829,27.512828999999993,,,0,4.066107500270182e-05,9,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 19.4872
Round: 9",1 , 1,,,, 19.4872,81.512829,27.512828999999993,,,1,4.066107500270182e-05,9,True,,
