info_state,Allocation British Columbia,Bid ([0]),Bid ([1]),Bid ([2]),Bid ([3]),Price British Columbia,Utility 0,Utility 1,bids,player,prob,round,terminal,total_demand,type
"Price: [36.6025]
Final bids: [array([2]), array([1])]
Round: 5
",[2],,,,,36.60250000000002,1.794999999999959,3.3974999999999795,,1,0.00013354424660938518,5,True,,0
"p0 a2 agg[array([0]), array([4]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2]), array([2]), array([2])] sor_exposure80.52550000000005",,1.0,,,,40.262750000000025,,,"[array([0]), array([2]), array([2]), array([2]), array([2]), array([2])]",0,3.810394756896819e-13,6,False,[4],0
"p1 a2 agg[array([0]), array([4]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2]), array([2]), array([2])] sor_exposure80.52550000000005",,1.0,,,,40.262750000000025,,,"[array([0]), array([2]), array([2]), array([2]), array([2]), array([2])]",1,3.810394756896819e-13,6,False,[4],0
"Price: [40.26275]
Final bids: [array([2]), array([1])]
Round: 6
",[2],,,,,40.262750000000025,-5.525500000000051,-0.26275000000002535,,0,9.698059650314042e-08,6,True,,0
"Price: [40.26275]
Final bids: [array([2]), array([1])]
Round: 6
",[2],,,,,40.262750000000025,-5.525500000000051,-0.26275000000002535,,1,9.698059650314042e-08,6,True,,0
"p0 a2 agg[array([0]), array([5])] sub[array([0]), array([2])] proc[array([0]), array([2])] sor_exposure55.00000000000001",,0.016286528759786003,0.5190260611583524,0.4646874100818616,,27.500000000000004,,,"[array([0]), array([2])]",0,0.0010221165477970217,2,False,[5],0
"p1 a3 agg[array([0]), array([5])] sub[array([0]), array([3])] proc[array([0]), array([3])] sor_exposure82.50000000000001",,0.00010721340244729743,0.00010721340244729743,0.9997666673090928,1.890588601260484e-05,27.500000000000004,,,"[array([0]), array([3])]",1,0.0010221165477970217,2,False,[5],0
"p0 a1 agg[array([0]), array([5]), array([4])] sub[array([0]), array([2]), array([1])] proc[array([0]), array([2]), array([1])] sor_exposure30.250000000000007",,0.01568950962061331,0.9843104903793868,,,30.250000000000007,,,"[array([0]), array([2]), array([1])]",0,1.0029669438382246e-08,3,False,[4],0
"p1 a3 agg[array([0]), array([5]), array([4])] sub[array([0]), array([3]), array([3])] proc[array([0]), array([3]), array([3])] sor_exposure90.75000000000003",,0.2781698691410874,0.2781698691410874,0.2781698691410874,0.1654903925767379,30.250000000000007,,,"[array([0]), array([3]), array([3])]",1,1.0029669438382247e-08,3,False,[4],0
"p0 a1 agg[array([0]), array([5]), array([4]), array([4])] sub[array([0]), array([2]), array([1]), array([1])] proc[array([0]), array([2]), array([1]), array([1])] sor_exposure33.27500000000001",,0.007969797017283661,0.9920302029827163,,,33.27500000000001,,,"[array([0]), array([2]), array([1]), array([1])]",0,1.6337722661061215e-09,4,False,[4],0
"p1 a3 agg[array([0]), array([5]), array([4]), array([4])] sub[array([0]), array([3]), array([3]), array([3])] proc[array([0]), array([3]), array([3]), array([3])] sor_exposure99.82500000000005",,0.25,0.25,0.25,0.25,33.27500000000001,,,"[array([0]), array([3]), array([3]), array([3])]",1,1.6337722661061215e-09,4,False,[4],0
"p0 a1 agg[array([0]), array([5]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([1]), array([1]), array([1])] proc[array([0]), array([2]), array([1]), array([1]), array([1])] sor_exposure36.60250000000002",,0.004016912485789768,0.9959830875142103,,,36.60250000000002,,,"[array([0]), array([2]), array([1]), array([1]), array([1])]",0,4.0518785819319704e-10,5,False,[4],0
"p1 a3 agg[array([0]), array([5]), array([4]), array([4]), array([4])] sub[array([0]), array([3]), array([3]), array([3]), array([3])] proc[array([0]), array([3]), array([3]), array([3]), array([3])] sor_exposure109.80750000000006",,0.25,0.25,0.25,0.25,36.60250000000002,,,"[array([0]), array([3]), array([3]), array([3]), array([3])]",1,4.0518785819319704e-10,5,False,[4],0
"p0 a1 agg[array([0]), array([5]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([1]), array([1]), array([1]), array([1])] proc[array([0]), array([2]), array([1]), array([1]), array([1]), array([1])] sor_exposure40.262750000000025",,1.0,,,,40.262750000000025,,,"[array([0]), array([2]), array([1]), array([1]), array([1]), array([1])]",0,1.008900635066326e-10,6,False,[4],0
"p1 a3 agg[array([0]), array([5]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([3]), array([3]), array([3]), array([3]), array([3])] proc[array([0]), array([3]), array([3]), array([3]), array([3]), array([3])] sor_exposure120.78825000000008",,1.0,,,,40.262750000000025,,,"[array([0]), array([3]), array([3]), array([3]), array([3]), array([3])]",1,1.008900635066326e-10,6,False,[4],0
"p0 a2 agg[array([0]), array([5]), array([4])] sub[array([0]), array([2]), array([2])] proc[array([0]), array([2]), array([2])] sor_exposure60.500000000000014",,0.308384971520879,0.308384971520879,0.38323005695824186,,30.250000000000007,,,"[array([0]), array([2]), array([2])]",0,0.00047485386660808164,3,False,[4],0
"p1 a2 agg[array([0]), array([5]), array([4])] sub[array([0]), array([3]), array([2])] proc[array([0]), array([3]), array([2])] sor_exposure60.500000000000014",,0.12019391371105534,0.12019391371105534,0.7596121725778894,,30.250000000000007,,,"[array([0]), array([3]), array([2])]",1,0.00047485386660808154,3,False,[4],0
"p0 a2 agg[array([0]), array([5]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2])] sor_exposure66.55000000000003",,0.3350095922015398,0.3350095922015398,0.3299808155969203,,33.27500000000001,,,"[array([0]), array([2]), array([2]), array([2])]",0,0.0001382329123387428,4,False,[4],0
"p1 a2 agg[array([0]), array([5]), array([4]), array([4])] sub[array([0]), array([3]), array([2]), array([2])] proc[array([0]), array([3]), array([2]), array([2])] sor_exposure66.55000000000003",,0.4999798401576624,0.4999798401576624,4.03196846751666e-05,,33.27500000000001,,,"[array([0]), array([3]), array([2]), array([2])]",1,0.00013823291233874276,4,False,[4],0
"p0 a2 agg[array([0]), array([5]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2]), array([2])] sor_exposure73.20500000000004",,0.49486753957656326,0.49486753957656326,0.01026492084687347,,36.60250000000002,,,"[array([0]), array([2]), array([2]), array([2]), array([2])]",0,1.8391505298720146e-09,5,False,[4],0
"p1 a2 agg[array([0]), array([5]), array([4]), array([4]), array([4])] sub[array([0]), array([3]), array([2]), array([2]), array([2])] proc[array([0]), array([3]), array([2]), array([2]), array([2])] sor_exposure73.20500000000004",,0.49243117686113524,0.49243117686113524,0.015137646277729573,,36.60250000000002,,,"[array([0]), array([3]), array([2]), array([2]), array([2])]",1,1.8391505298720146e-09,5,False,[4],0
